NORRBECK INSTRUMENTS - EXPENSE LEDGER, JANUARY-JUNE 2025
Amounts are in the original currency of the claim. Negative amounts are reversal entries.

TXN        | Date       | Employee | Amount       | Cur | Category  | Status   | Note
TXN-00347 | 2025-02-02 | E-1072   |     1,885.45 | USD | TRAINING  | REJECTED |
TXN-00210 | 2025-02-03 | E-1029   |        78.20 | GBP | SUPPLIES  | APPROVED |
TXN-00230 | 2025-02-03 | E-1069   |       878.07 | CHF | TRAINING  | APPROVED |
TXN-00235 | 2025-02-03 | E-1023   |     1,408.95 | EUR | TRAVEL    | PENDING  |
TXN-00236 | 2025-02-03 | E-1005   |       410.53 | CHF | SUPPLIES  | REJECTED |
TXN-00238 | 2025-02-03 | E-1053   |       873.92 | EUR | TRAVEL    | APPROVED |
TXN-00263 | 2025-02-03 | E-1071   |        83.41 | EUR | SUPPLIES  | APPROVED |
TXN-00294 | 2025-02-03 | E-1001   |       938.56 | USD | TRAVEL    | APPROVED |
TXN-00361 | 2025-02-03 | E-1001   |       710.17 | EUR | TRAVEL    | APPROVED |
TXN-00209 | 2025-02-04 | E-1091   |     1,352.37 | EUR | EQUIPMENT | REJECTED |
TXN-00215 | 2025-02-04 | E-1021   |     1,408.39 | GBP | TRAVEL    | APPROVED |
TXN-00219 | 2025-02-04 | E-1034   |     1,289.79 | EUR | TRAVEL    | APPROVED |
TXN-00224 | 2025-02-04 | E-1058   |       733.06 | EUR | TRAVEL    | APPROVED |
TXN-00300 | 2025-02-04 | E-1066   |       234.98 | EUR | MEALS     | REJECTED |
TXN-00345 | 2025-02-04 | E-1055   |       194.45 | CHF | MEALS     | APPROVED |
TXN-00380 | 2025-02-04 | E-1051   |     1,807.79 | EUR | CONF      | APPROVED |
TXN-00223 | 2025-02-05 | E-1031   |     1,653.67 | USD | CONF      | APPROVED |
TXN-00253 | 2025-02-05 | E-1030   |     1,146.23 | CHF | SOFTWARE  | APPROVED |
TXN-00262 | 2025-02-05 | E-1024   |     4,291.17 | CHF | EQUIPMENT | REJECTED |
TXN-00318 | 2025-02-05 | E-1004   |     1,547.00 | EUR | CONF      | APPROVED |
TXN-00343 | 2025-02-05 | E-1021   |     1,511.92 | CHF | TRAINING  | APPROVED |
TXN-00364 | 2025-02-05 | E-1007   |        56.64 | EUR | MEALS     | APPROVED |
TXN-00366 | 2025-02-05 | E-1077   |       862.29 | CHF | CONF      | APPROVED |
TXN-00368 | 2025-02-05 | E-1095   |     1,631.43 | EUR | CONF      | APPROVED |
TXN-00200 | 2025-02-06 | E-1061   |     4,416.08 | EUR | EQUIPMENT | APPROVED |
TXN-00212 | 2025-02-06 | E-1066   |       132.68 | EUR | MEALS     | REJECTED |
TXN-00237 | 2025-02-06 | E-1043   |     1,388.61 | EUR | SOFTWARE  | APPROVED |
TXN-00340 | 2025-02-06 | E-1061   |     1,850.59 | GBP | CONF      | REJECTED |
TXN-00362 | 2025-02-06 | E-1062   |       389.59 | USD | SOFTWARE  | APPROVED |
TXN-00376 | 2025-02-06 | E-1058   |     1,952.53 | EUR | TRAINING  | APPROVED |
TXN-00193 | 2025-02-07 | E-1091   |     2,205.09 | EUR | SOFTWARE  | PENDING  |
TXN-00198 | 2025-02-07 | E-1061   |       285.15 | CHF | MEALS     | APPROVED |
TXN-00250 | 2025-02-07 | E-1041   |       305.65 | EUR | SUPPLIES  | APPROVED |
TXN-00261 | 2025-02-07 | E-1036   |     1,788.89 | EUR | TRAINING  | APPROVED |
TXN-00280 | 2025-02-07 | E-1061   |     1,277.11 | EUR | CONF      | REJECTED |
TXN-00289 | 2025-02-07 | E-1011   |        98.23 | GBP | SUPPLIES  | APPROVED |
TXN-00327 | 2025-02-07 | E-1044   |     1,829.16 | EUR | TRAINING  | APPROVED |
TXN-00226 | 2025-02-08 | E-1003   |        84.09 | EUR | MEALS     | APPROVED |
TXN-00246 | 2025-02-08 | E-1051   |     1,572.71 | CHF | TRAINING  | APPROVED |
TXN-00279 | 2025-02-08 | E-1084   |       942.13 | CHF | TRAVEL    | APPROVED |
TXN-00317 | 2025-02-08 | E-1017   |     1,044.58 | EUR | TRAINING  | APPROVED |
TXN-00360 | 2025-02-08 | E-1027   |     1,294.70 | EUR | TRAVEL    | APPROVED |
TXN-00373 | 2025-02-08 | E-1096   |       526.65 | USD | TRAINING  | PENDING  |
TXN-00217 | 2025-02-10 | E-1011   |        49.18 | USD | MEALS     | APPROVED |
TXN-00239 | 2025-02-10 | E-1062   |     6,732.85 | GBP | EQUIPMENT | APPROVED |
TXN-00240 | 2025-02-10 | E-1021   |     1,611.12 | GBP | TRAVEL    | PENDING  |
TXN-00265 | 2025-02-10 | E-1040   |       826.97 | EUR | CONF      | APPROVED |
TXN-00276 | 2025-02-10 | E-1066   |     1,196.76 | GBP | CONF      | APPROVED |
TXN-00314 | 2025-02-10 | E-1069   |     7,269.72 | EUR | EQUIPMENT | APPROVED |
TXN-00351 | 2025-02-10 | E-1044   |     1,312.54 | GBP | TRAINING  | APPROVED |
TXN-00244 | 2025-02-11 | E-1041   |       169.66 | GBP | MEALS     | APPROVED |
TXN-00248 | 2025-02-11 | E-1091   |     1,878.48 | EUR | EQUIPMENT | APPROVED |
TXN-00260 | 2025-02-11 | E-1081   |     1,642.67 | EUR | CONF      | APPROVED |
TXN-00290 | 2025-02-11 | E-1023   |     1,508.74 | CHF | TRAVEL    | APPROVED |
TXN-00295 | 2025-02-11 | E-1071   |        65.32 | EUR | MEALS     | REJECTED |
TXN-00319 | 2025-02-11 | E-1026   |     4,012.55 | GBP | EQUIPMENT | REJECTED |
TXN-00352 | 2025-02-11 | E-1019   |     2,159.93 | USD | SOFTWARE  | APPROVED |
TXN-00371 | 2025-02-11 | E-1081   |       999.27 | EUR | TRAVEL    | APPROVED |
TXN-00203 | 2025-02-12 | E-1017   |     4,083.10 | USD | EQUIPMENT | APPROVED |
TXN-00205 | 2025-02-12 | E-1037   |       194.18 | USD | MEALS     | PENDING  |
TXN-00221 | 2025-02-12 | E-1091   |       233.41 | EUR | CONF      | APPROVED |
TXN-00251 | 2025-02-12 | E-1063   |        63.38 | EUR | SUPPLIES  | APPROVED |
TXN-00266 | 2025-02-12 | E-1091   |       351.55 | USD | SUPPLIES  | APPROVED |
TXN-00275 | 2025-02-12 | E-1053   |     1,605.64 | CHF | TRAVEL    | APPROVED |
TXN-00286 | 2025-02-12 | E-1081   |       419.83 | GBP | SUPPLIES  | PENDING  |
TXN-00292 | 2025-02-12 | E-1089   |     2,289.37 | USD | SOFTWARE  | APPROVED |
TXN-00324 | 2025-02-12 | E-1058   |       257.82 | EUR | SUPPLIES  | APPROVED |
TXN-00326 | 2025-02-12 | E-1009   |       712.21 | EUR | CONF      | APPROVED |
TXN-00372 | 2025-02-12 | E-1041   |     1,048.27 | GBP | CONF      | APPROVED |
TXN-00220 | 2025-02-13 | E-1078   |     1,138.06 | EUR | SOFTWARE  | PENDING  |
TXN-00231 | 2025-02-13 | E-1036   |     1,611.69 | USD | CONF      | APPROVED |
TXN-00247 | 2025-02-13 | E-1026   |       378.43 | CHF | TRAVEL    | APPROVED |
TXN-00305 | 2025-02-13 | E-1033   |       134.75 | USD | SUPPLIES  | APPROVED |
TXN-00316 | 2025-02-13 | E-1086   |       934.21 | USD | TRAVEL    | APPROVED |
TXN-00353 | 2025-02-13 | E-1011   |     1,694.81 | EUR | CONF      | APPROVED |
TXN-00363 | 2025-02-13 | E-1031   |     7,607.75 | EUR | EQUIPMENT | APPROVED |
TXN-00375 | 2025-02-13 | E-1062   |     2,084.80 | EUR | SOFTWARE  | APPROVED |
TXN-00199 | 2025-02-14 | E-1041   |     1,609.88 | EUR | SOFTWARE  | APPROVED |
TXN-00201 | 2025-02-14 | E-1017   |     1,487.33 | USD | TRAVEL    | APPROVED |
TXN-00213 | 2025-02-14 | E-1061   |     1,559.12 | CHF | TRAINING  | APPROVED |
